Trace
Swept SA
A.24.56,N9000B
73882730.7717852,-78.1999001318938
73889492.4137852,-78.2849020300743
73896254.0557852,-78.4156138163195
73903015.6977852,-77.7930129463701
73909777.3397852,-77.9385759305252
73916538.9817852,-78.1060705029714
73923300.6237852,-78.0815596788679
73930062.2657852,-78.2249378699516
73936823.9077852,-78.150789371715
73943585.5497852,-78.2651929789802
73950347.1917852,-77.7454950718317
73957108.8337852,-77.9551314286858
73963870.4757852,-78.3441245069018
73970632.1177852,-77.3201481848836
73977393.7597852,-77.5377140538422
73984155.4017852,-78.1422797145998
73990917.0437852,-77.3893471007469
73997678.6857852,-77.8330061139551
74004440.3277852,-77.1924671829329
74011201.9697852,-77.1519956464441
74017963.6117852,-77.6855298792878
74024725.2537852,-77.4536883555936
74031486.8957852,-77.9264978215719
74038248.5377852,-77.9979180964393
74045010.1797852,-77.8036542410357
74051771.8217852,-77.6603058349913
74058533.4637852,-78.1148785726577
74065295.1057852,-77.5718732578821
74072056.7477852,-77.6685283732731
74078818.3897852,-77.6965326021072
74085580.0317852,-77.415082916383
74092341.6737852,-77.2029355432294
74099103.3157852,-78.4144892958744
74105864.9577852,-77.9214035909506
74112626.5997852,-77.9829610833513
74119388.2417852,-77.7489724825423
74126149.8837852,-77.0969698848544
74132911.5257852,-76.9618295457407
74139673.1677852,-77.1998883368342
74146434.8097852,-77.5796645778909
74153196.4517852,-77.2791050405646
74159958.0937852,-76.4603128479424
74166719.7357852,-77.0491312501487
74173481.3777852,-77.8491461074893
74180243.0197852,-76.645945087267
74187004.6617852,-76.7566383924317
74193766.3037852,-77.2075008982785
74200527.9457852,-76.899449775629
74207289.5877852,-76.6306854318021
74214051.2297852,-76.7331736670229
74220812.8717852,-76.361783457786
74227574.5137852,-75.2917692956748
74234336.1557852,-74.7957584774343
74241097.7977852,-74.7900349474882
74247859.4397852,-74.5554735817387
74254621.0817852,-73.8480580083686
74261382.7237852,-73.1912570742967
74268144.3657852,-72.7410382303123
74274906.0077852,-71.9861195170144
74281667.6497852,-71.9254104527703
74288429.2917852,-72.3603227601997
74295190.9337852,-72.6079334770918
74301952.5757852,-73.5310267792798
74308714.2177852,-73.1477807544648
74315475.8597852,-73.7488205109889
74322237.5017852,-74.2179305765859
74328999.1437852,-74.4443390638831
74335760.7857852,-74.990579235349
74342522.4277852,-75.2127244588266
74349284.0697852,-76.226329922743
74356045.7117852,-76.0849241559799
74362807.3537852,-76.2800393832066
74369568.9957852,-76.7422850086732
74376330.6377852,-76.9392753492582
74383092.2797852,-77.0024991294532
74389853.9217852,-77.1270589809687
74396615.5637852,-77.2933733675517
74403377.2057852,-77.3320660222263
74410138.8477852,-77.93310698361
74416900.4897852,-77.8876010766333
74423662.1317852,-77.4634914454599
74430423.7737852,-77.5763426223806
74437185.4157852,-77.4349843357559
74443947.0577852,-78.310834325775
74450708.6997852,-78.2616783283799
74457470.3417852,-77.2024853136568
74464231.9837852,-77.5334030508502
74470993.6257852,-77.8205529291906
74477755.2677852,-77.8831639656237
74484516.9097852,-77.3584879484794
74491278.5517852,-77.5087648590513
74498040.1937852,-77.231044269733
74504801.8357852,-77.1604693453448
74511563.4777852,-77.9741318868494
74518325.1197852,-78.5822515461815
74525086.7617852,-78.1656511697274
74531848.4037852,-77.239933657375
74538610.0457852,-77.1199719867797
74545371.6877852,-77.3312980826434
74552133.3297852,-78.0853786685832
74558894.9717852,-78.4930771427319
74565656.6137852,-77.9800368134979
74572418.2557852,-77.442358391919
74579179.8977852,-77.8923873652865
74585941.5397852,-78.0711203525998
74592703.1817852,-77.6505673927662
74599464.8237852,-77.7063407125061
74606226.4657852,-77.8779152207086
74612988.1077852,-78.2212931849865
74619749.7497852,-78.1703200530077
74626511.3917852,-78.3918050962119
74633273.0337852,-77.3463952186954
74640034.6757852,-77.1651103073347
74646796.3177852,-77.4896918124179
74653557.9597852,-77.5157622433173
74660319.6017852,-77.8279791416706
74667081.2437852,-78.0744697209706
74673842.8857852,-77.5145933760955
74680604.5277852,-77.9340341287938
74687366.1697852,-78.1252800439835
74694127.8117852,-78.3417461310807
74700889.4537852,-78.1597120385354
74707651.0957852,-78.0220158803724
74714412.7377852,-77.7638611533068
74721174.3797852,-77.5735700036702
74727936.0217852,-77.9796256998725
74734697.6637852,-78.6086417143699
74741459.3057852,-78.2178738685916
74748220.9477852,-78.1278800853066
74754982.5897852,-77.5938894053535
74761744.2317852,-77.7367453711931
74768505.8737852,-77.8732791209456
74775267.5157852,-77.9550778501781
74782029.1577852,-77.9496134724805
74788790.7997852,-78.0005429380409
74795552.4417852,-78.5114235178056
74802314.0837852,-78.1171755274791
74809075.7257852,-78.0205553305034
74815837.3677852,-77.7451436521523
74822599.0097852,-77.5482827367319
74829360.6517852,-78.0746734987731
74836122.2937852,-78.1003163439576
74842883.9357852,-78.9312851992079
74849645.5777852,-78.4759125307917
74856407.2197852,-77.9057083514608
74863168.8617852,-77.8694503952593
74869930.5037852,-78.2209652082254
74876692.1457852,-77.6919872566552
74883453.7877852,-78.2135858827824
74890215.4297852,-78.2449944005024
74896977.0717852,-77.6093319528014
74903738.7137852,-78.0052768358884
74910500.3557852,-77.8717472736801
74917261.9977852,-77.9329465604412
74924023.6397852,-78.3317665486463
74930785.2817852,-77.7196309730589
74937546.9237852,-78.3557887950298
74944308.5657852,-78.6235896636729
74951070.2077852,-77.9028370957668
74957831.8497852,-77.5131107468857
74964593.4917852,-77.7561650877558
74971355.1337852,-78.411709466648
74978116.7757852,-77.8347452248123
74984878.4177852,-77.2140806863353
74991640.0597852,-77.2067287759546
74998401.7017852,-77.200795661876
75005163.3437852,-77.6416000962189
75011924.9857852,-77.5534646405311
75018686.6277852,-77.944132278391
75025448.2697852,-77.7624084546666
75032209.9117852,-77.4901996072233
75038971.5537852,-77.6654484645698
75045733.1957852,-77.8174886723264
75052494.8377852,-78.0400511198908
75059256.4797852,-77.8871293715125
75066018.1217852,-77.6765816304217
75072779.7637852,-78.2364682898007
75079541.4057852,-78.1316207545609
75086303.0477852,-77.7461760063988
75093064.6897852,-77.9435303360166
75099826.3317852,-77.8831609382554
75106587.9737852,-77.6759696431948
75113349.6157852,-77.7657257621364
75120111.2577852,-77.399405687218
75126872.8997852,-77.615852315049
75133634.5417852,-77.8366640807884
75140396.1837852,-77.453638331096
75147157.8257852,-77.595224479279
75153919.4677852,-77.517930462935
75160681.1097852,-77.5139764028569
75167442.7517852,-78.2188044359156
75174204.3937852,-77.9539752475546
75180966.0357852,-77.6738325079323
75187727.6777852,-77.3337832274642
75194489.3197852,-77.9212048352274
75201250.9617852,-77.9916505495711
75208012.6037852,-78.0790558319308
75214774.2457852,-77.8375450990563
75221535.8877852,-77.5173470219128
75228297.5297852,-77.7800750585126
75235059.1717852,-77.2590538290528
75241820.8137852,-77.6220207322476
75248582.4557852,-77.8859688396569
